CSV-Export;Version: 1.01;Separator: Semicolon

;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR38-003;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10;WR50MS10
;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;2000133842;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399;1100085399
TimeStamp;E-Total;Fac;Fehler;h-On;h-Total;Iac-Ist;Ipv;Netz-Ein;Pac;Phase;Riso;Seriennummer;Status;Uac;Upv-Ist;Upv-Soll;Zac;dI;E-Total;E-Total DC-A;E-Total DC-B;E-Total DC-C;Fac;Fehler;h-On;h-Total;Iac;Netz-Ein;Pac;PPV DC-A;PPV DC-B;PPV DC-C;Riso;Seriennummer;Status;Uac;Upv-Ist DC-A;Upv-Ist DC-B;Upv-Ist DC-C;Zac
hh:mm;kWh;Hz;;h;h;A;A;;W;;kOhm;;;V;V;V;Ohm;mA;kWh;kWh;kWh;kWh;Hz;;h;h;mA;;W;W;W;W;kOhm;;;V;V;V;V;Ohm
06:30;66570,464;50,006;0;73170,312;70263,193;0;0;38903;0;0;3000;2000133842;3;237,14;177,5;549;0;;;;;;;;;;;;;;;;;;;;;;;
06:45;66570,464;49,997;0;73170,561;70263,193;0;0;38903;0;0;3000;2000133842;3;237,131;218,94;549;0;;;;;;;;;;;;;;;;;;;;;;;
07:00;66570,465;49,995;0;73170,814;70263,398;0,035;0,081;38905;7,966;0;3000;2000133842;7;237,211;208,017;259,197;0,201;3,964;84498,504;44391,58;46480,09;4,4;49,543;0;71308,243;62915,634;0;46448;0;4,64;20,865;0;923,162;1100085399;1;234,297;281,667;265,072;0;0
07:15;66570,478;49,983;0;73171,063;70263,648;0,214;0,299;38905;50,547;0;3000;2000133842;6;237,363;230,427;231,393;0,2;4;84498,504;44391,58;46480,09;4,4;49,981;0;71308,495;62915,634;0;46448;0;4,102;24,856;0;841,28;1100085399;6;236,881;336,466;314,076;0;0
07:30;66570,505;49,99;0;73171,313;70263,898;0,46;0,525;38905;108,767;0;3000;2000133842;7;237,095;251,535;252,287;0,175;4;84498,504;44391,58;46480,09;4,4;49,988;0;71308,744;62915,634;0;46448;0;5,566;26,078;0;782,023;1100085399;1;236,039;335,465;324,659;0;0
07:45;66570,543;49,977;0;73171,564;70264,148;0,644;0,68;38905;152,256;0;3000;2000133842;7;236,766;261,512;262,163;0,175;4;84498,504;44391,58;46480,09;4,4;49,976;23;71308,993;62915,634;0;46448;0;3,594;30,063;0;938,719;1100085399;8;235,992;293,828;370,484;0;0
08:00;66570,583;49,995;0;73171,813;70264,397;0,671;0,686;38905;158,5;0;3000;2000133842;7;236,802;269,151;269,563;0,169;4;84498,504;44391,58;46480,09;4,4;49,994;0;71309,244;62915,634;0;46448;0;2,803;33,535;0;1064,465;1100085399;1;235,937;286,394;407,598;0;0
